asset_id,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,ticker,sector,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
471,1582,-0.00972076953078982,-2.0151863138915533e-05,2.0151863138915533e-05,0.001763711721603819,VRTX,Health Care,-0.010669276688544572,1.702253037949066,3.936234866376026e-05,0.009237488534408715
124,885,0.017607144265735147,2.012967507228807e-05,2.012967507228807e-05,0.0017617697992653822,CEG,Utilities,0.014002333463121734,2.7603253743218126,-1.3137588985600454e-05,0.009184988596759355
460,1556,-0.009552113129431687,-1.9513929761417505e-05,1.9513929761417505e-05,0.0017078791383960247,UPS,Industrials,-0.011565585433647819,1.681191862453308,3.841619264248284e-05,0.009236542378387438
198,1557,0.009679147149394135,1.935552129794666e-05,1.935552129794666e-05,0.0016940150672727322,FE,Utilities,-0.002124793586649667,1.2706681197319516,-7.155403091632303e-07,0.009197410645435791
196,1557,0.009238203258413867,1.9350129516970732e-05,1.9350129516970732e-05,0.0016935431730740664,FITB,Financials,0.010349502174659554,2.0092816296720994,-5.486776645725907e-07,0.009197577508080382
22,1557,0.009489191717558406,1.9346341670827577e-05,1.9346341670827577e-05,0.0016932116568963182,MO,Consumer Staples,-0.0005084313402465796,1.3003009564964483,-4.782039542007811e-07,0.009197647981790754
112,1552,0.009440949093384868,1.9061193488949153e-05,1.9061193488949153e-05,0.0016682551956844613,CME,Financials,0.000326223272832811,1.2919656517612566,-5.57851454181076e-07,0.009197568334290774
390,1557,0.009341946540697324,1.9021830172838252e-05,1.9021830172838252e-05,0.0016648100779031718,REG,Real Estate,0.009041030807553144,1.5571817676779378,2.1451377462434804e-08,0.009198147637122418
334,1557,-0.009448388388886068,-1.9018402784038907e-05,1.9018402784038907e-05,0.0016645101093216948,NKE,Consumer Discretionary,-0.008714050591020758,1.9668397101279367,3.800905621312673e-05,0.009236135241958082
247,1557,0.009219796551364174,1.8764381432758986e-05,1.8764381432758986e-05,0.0016422779002350392,ITW,Industrials,0.00118466698602318,1.2710704715149894,6.910905812992858e-08,0.009198195294803086
466,1557,0.009017015247806456,1.8729850755373565e-05,1.8729850755373565e-05,0.0016392557399494238,VTR,Real Estate,0.011197964658731355,1.6941089027421719,2.9483088367567207e-07,0.00919842101662863
241,1557,-0.00908934799042808,-1.8521905431149802e-05,1.8521905431149802e-05,0.0016210561519878566,HUM,Health Care,-0.00736509194595532,1.9974527235636055,3.73348067292278e-05,0.009235460992474184
394,1556,-0.008954067104872553,-1.836273387545881e-05,1.836273387545881e-05,0.001607125294251135,RMD,Health Care,-0.008231395667584029,1.780462629836809,3.7027159858650226e-05,0.009235153345603606
414,1565,-0.00888843790013768,-1.8262130888471284e-05,1.8262130888471284e-05,0.0015983204176918252,SW,Materials,-0.01149435320157575,2.7015708868827226,3.751287428968874e-05,0.009235639060034644
230,1556,0.008804655501687715,1.804261040788375e-05,1.804261040788375e-05,0.0015791077601784527,HSY,Consumer Staples,0.0016502239847203297,1.293613187909528,1.239656206314077e-06,0.009199365841951268
131,1555,0.008840415893362935,1.7976858494116225e-05,1.7976858494116225e-05,0.0015733530852766705,COST,Consumer Staples,-0.0009303599419106944,1.2635461689071559,9.541291170932729e-07,0.009199080314862048
